yr,hypertension,wt_category,count
2017,0,Class I Obese,975
2017,0,Class II Obese,236
2017,0,Class III Obese,99
2017,0,Normal,1375
2017,0,Overweight,803
2017,0,Underweight,182
2017,1,Class III Obese,2
2017,NA,Normal,15
2017,NA,Underweight,13
2018,0,Class I Obese,1140
2018,0,Class II Obese,317
2018,0,Class III Obese,148
2018,0,Normal,878
2018,0,Overweight,952
2018,0,Underweight,47
2018,1,Class I Obese,1
2018,1,Class II Obese,1
2018,1,Class III Obese,2
2018,NA,Class I Obese,2
2018,NA,Normal,20
2018,NA,Overweight,1
2018,NA,Underweight,11
2019,0,Class I Obese,1246
2019,0,Class II Obese,428
2019,0,Class III Obese,186
2019,0,Normal,604
2019,0,Overweight,961
2019,0,Underweight,21
2019,1,Class I Obese,1
2019,1,Class II Obese,1
2019,1,Overweight,2
